taxon	sequenceID	name	subfamily	genus	subgenus	host_group	vector_group	isolate	sampled_host_sci_name	sample_date	country
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/KC145265	KC145265	TDAV	HepaPegi	Pegivirus	-	Mammalia	none	HorseA1_serum	Equus caballus	-	USA
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/KC796073	KC796073	BPV	HepaPegi	Pegivirus	-	Mammalia	none	PDB-303	Megaloglossus woermanni	-	Democratic Republic of the Congo
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/KC796088	KC796088	PVI	HepaPegi	Pegivirus	-	Mammalia	-	PDB-1715	Sturnira lilium	-	Guatemala
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/KT439329	KT439329	HHpgV	HepaPegi	Pegivirus	-	Mammalia	none	AK-790	Homo sapiens	-	USA
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/KU351670	KU351670	PPV	HepaPegi	Pegivirus	-	Mammalia	-	PPgV_80F/Ger/2012	Sus scrofa	-	Germany
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/MK059751	MK059751	DPV	HepaPegi	Pegivirus	-	Mammalia	-	DPgV	Tursiops truncatus	-	USA
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/MT513216	MT513216	SOBV	HepaPegi	Pegivirus	-	Mammalia	-	cj1516	Callithrix jacchus	-	USA: Madison, WI
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/MW091548	MW091548	GPV	HepaPegi	Pegivirus	-	Aves	-	-	Anser cygnoides	-	China: Sichuan
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_001710	NC_001710	HGV1	HepaPegi	Pegivirus	-	Mammalia	none	-	-	-	-
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_001837	NC_001837	GBV-A	HepaPegi	Pegivirus	-	Mammalia	none	-	-	-	-
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_020902	NC_020902	EPgV	HepaPegi	Pegivirus	-	Mammalia	none	C0035	horse	-	USA
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_021154	NC_021154	RPgV	HepaPegi	Pegivirus	-	Mammalia	none	CC61	Neotoma lepida	-	USA
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_024377	NC_024377	SPgV	HepaPegi	Pegivirus	-	Mammalia	none	SPgVkrc_RC08	Piliocolobus tephrosceles (red colobus monkey)	-	Uganda: Kibale National Park
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_025679	NC_025679	NPgV	HepaPegi	Pegivirus	-	Mammalia	none	NrPgV/NYC-E13	Rattus norvegicus	-	USA: New York, New York City
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_027998	NC_027998	HPgV-2	HepaPegi	Pegivirus	-	Mammalia	none	UC0125.US	Homo sapiens	-	USA
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_030291	NC_030291	GBVD	HepaPegi	Pegivirus	-	Mammalia	-	-	Pteropus giganteus	-	Bangladesh
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_034442	NC_034442	PVK	HepaPegi	Pegivirus	-	Mammalia	-	PPgV_903/Ger/2013	Sus scrofa	-	Germany
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_038434	NC_038434	PVF	HepaPegi	Pegivirus	-	Mammalia	-	PDB-1698	Carollia perspicillata	-	Guatemala
alignment/AL_TREE_Pegivirus/member/ncbi-refseqs/NC_038435	NC_038435	PVG	HepaPegi	Pegivirus	-	Mammalia	-	PDB-620	Scotophilus dinganii	-	Kenya
